1571996535,2,2,2,"CK,CJ,CA,C2;S2,S6,S3,S4;HQ,S9,S5,S7;D4,D8,D3,D2;D6,D9,D5,D7;D10,DJ,SQ,DK;H8,SK,SJ,S8;H4,H2,H3,H7;DA,HA,SA,S10;C3,HK,C6,C4;C8,H10,C7,C5;DQ,H9,H6,HJ;C10,H5,C9,CQ"
1571996535,2,26,2,"CK,CA,C2,C6;S5,S10,S4,S2;C3,C10,C5,SA;C4,CQ,C7,HK;D6,D8,D2,D3;D9,DQ,D4,D5;DK,DA,H6,D7;S7,SK,S6,S3;S8,SQ,S9,H8;H5,H9,H2,H3;H7,H10,CJ,H4;HJ,HQ,C8,DJ;C9,HA,SJ,D10"
1571996535,2,12,2,"D10,C2,CA,C7;S3,SQ,S2,S8;D5,D9,D2,D4;D6,DJ,D3,D7;D8,DQ,DK,SA;S4,H7,S7,S9;HA,C4,C8,C3;S5,DA,S10,HQ;S6,CK,SJ,H9;HJ,CQ,SK,H6;H8,C6,CJ,C5;H3,C10,H10,H2;H4,C9,HK,H5"
1571996535,2,21,2,"C10,C2,CK,CA;SJ,S2,S4,S3;C3,C7,C6,CQ;HA,SA,S10,S5;C4,CJ,C8,HK;DQ,D2,D4,D8;C5,HJ,C9,HQ;DK,D3,D6,DJ;H2,H6,H3,DA;H10,D5,D7,S9;H9,H7,SK,S6;H8,D10,SQ,S7;H4,D9,H5,S8"
1571996535,2,0,2,"C6,CA,C8,C2;S3,S5,S2,S4;C5,C3,C4,C7;SK,SQ,S6,S7;D2,D7,D3,DK;D4,D10,D6,DA;HA,H10,S8,S10;HK,H9,S9,SJ;HJ,C9,SA,C10;H5,CQ,H7,CJ;D5,DQ,D8,HQ;H4,CK,H2,H6;DJ,H8,D9,H3"
1571996535,2,10,2,"C6,C2,CK,CA;C3,C4,C8,C9;HQ,C5,CQ,C10;S5,S2,S3,SQ;H9,C7,SK,CJ;DQ,D6,D2,D4;D7,DK,D3,D5;S7,S4,S9,H10;D8,SA,D9,DJ;H8,HJ,D10,DA;H2,H3,H7,H4;SJ,S8,HK,H5;S10,S6,HA,H6"
1571996535,2,14,2,"CQ,C2,CA,CK;S6,S2,S5,S4;S8,S3,S7,HK;S10,S9,SQ,HJ;D5,D6,D2,D3;D8,D7,SK,D4;C4,C3,C6,C5;HA,C9,C8,C7;D9,DJ,H9,D10;SJ,SA,H4,H10;H3,H6,H2,H5;DK,H8,CJ,H7;DQ,HQ,C10,DA"
1571996535,2,6,2,"CK,C6,CJ,C2;S2,S7,S5,S3;S4,S9,S8,S6;S10,SJ,SA,HJ;C7,C5,C3,C4;C8,HA,C9,CQ;SQ,H9,C10,CA;DK,D7,D5,D2;SK,H4,H7,H8;H5,H2,H6,H3;HK,D8,D6,D3;HQ,DJ,D10,D4;H10,DQ,DA,D9"
1571996535,2,1,2,"C2,CA,C3,CQ;SQ,S2,S5,S3;D2,D4,D3,D5;C5,C4,SA,C10;D7,D6,D8,D9;DQ,HK,D10,DK;H8,S4,S6,S8;H2,S7,S10,S9;DA,HQ,DJ,SK;C6,CJ,HJ,HA;C7,CK,H10,H9;C9,H4,H3,H5;C8,H7,H6,SJ"
1571996535,2,5,2,"C2,CK,CA,CJ;S4,S8,S2,S3;C3,C4,C5,C6;S6,SQ,S9,S5;D5,D2,DK,D4;DQ,D3,D8,D7;SJ,SA,S10,S7;HK,D6,SK,D9;HJ,D10,H8,DJ;H10,HA,H6,DA;H9,HQ,C7,C8;H4,H7,CQ,C9;H3,H2,H5,C10"
1571996535,2,17,2,"CQ,C2,CK,CJ;S2,S7,S3,S4;C10,C4,C3,C6;S9,H8,S8,S5;D2,D4,D6,D3;HQ,C5,C7,SK;D5,D10,D9,DQ;H9,H6,SQ,S6;H3,DA,SA,S10;H2,DK,H4,H7;DJ,CA,HJ,SJ;D8,C9,H5,HK;D7,C8,H10,HA"
1571996535,2,0,2,"C2,C4,C8,CQ;S4,S2,S6,S7;C5,C3,HK,C7;C6,HA,H8,C9;CJ,HQ,H6,C10;S9,S3,S8,SQ;D9,D8,D2,D4;SK,S5,H5,SA;H10,DQ,D3,D5;H7,S10,H2,H9;H3,SJ,DK,DA;CA,H4,D7,DJ;CK,HJ,D6,D10"
1571996535,2,2,2,"CK,CA,C8,C2;SQ,S4,S2,S3;C10,C4,C3,C6;D6,D8,D2,D4;SK,S5,S8,S7;D7,SA,D3,D5;D10,HA,D9,H10;DJ,H4,DK,H7;HK,S6,S9,S10;HJ,C5,HQ,CJ;H9,C7,H8,CQ;DA,C9,H2,H3;DQ,SJ,H5,H6"
1571996535,2,2,2,"CK,C2,CA,CQ;S3,S2,S6,S10;C8,C4,C9,C3;S8,S4,SJ,HJ;D10,D3,D4,D2;S9,S5,SA,H10;DJ,D6,D5,D7;CJ,C7,HA,C5;DK,DQ,D9,D8;SK,S7,HQ,H4;SQ,H9,H8,DA;H2,H5,H3,C10;HK,H7,H6,C6"
1571996535,2,19,2,"CK,C10,C2,CA;S2,S4,S6,SJ;C4,C7,C3,C8;C5,HK,C6,CJ;DQ,D5,D4,D2;S3,S8,S10,SA;SQ,D7,DK,D3;S5,H9,SK,HQ;CQ,H8,C9,H3;S7,H6,HA,DJ;S9,H4,HJ,D9;H2,DA,H7,D8;H5,D10,H10,D6"
1571996535,2,0,2,"C8,CQ,C2,CA;S6,S4,S10,S2;S9,S7,SJ,S3;C7,C3,C5,CK;SQ,S8,HA,S5;D2,D4,D7,DK;D3,D6,D9,DA;HK,HQ,H10,SK;H9,H8,H4,SA;H6,C4,C6,C10;H2,H5,C9,CJ;D8,DQ,H3,H7;D5,D10,DJ,HJ"
1571996535,2,2,2,"C2,C10,C5,CQ;C6,C3,C4,C8;C7,C9,SQ,CJ;D3,D8,DQ,D2;D7,H10,DK,D4;D9,H9,DA,D5;S4,S3,S2,SK;HK,H7,HA,D6;HJ,H4,HQ,D10;H8,H3,H2,DJ;S6,S7,S5,SA;CA,S9,SJ,H5;CK,S8,S10,H6"
1571996535,2,0,2,"C2,C10,C8,CA;S7,S4,S3,S2;S9,S5,SA,S8;C5,C4,C3,CQ;S10,S6,HK,SJ;D6,D3,D2,D7;HQ,D10,D4,D9;C9,C7,C6,HA;CJ,SQ,H9,HJ;CK,SK,H6,H10;H5,H2,DK,H4;H7,H3,D8,DA;H8,DQ,D5,DJ"
1571996535,2,2,2,"CK,C2,CJ,CQ;S9,S4,S2,S3;C7,C5,C6,C3;C10,C8,SQ,C4;DJ,D3,D4,D2;SK,S5,S8,S6;H2,H10,H4,H3;HA,D6,D5,D8;HQ,D7,D9,D10;HJ,SA,DK,DQ;H8,S7,SJ,S10;H5,CA,H6,HK;H7,C9,H9,DA"
1571996535,2,4,2,"CK,CQ,C2,CA;S4,S3,S5,S2;S9,S6,S7,S8;C4,C9,C3,C6;C5,C8,C7,C10;D5,D8,D2,D4;DA,D10,D3,D6;H2,H5,H6,H3;HK,SQ,S10,SA;HJ,DQ,D9,D7;H9,SK,SJ,H10;H7,HQ,DJ,H4;H8,HA,CJ,DK"
1571996535,2,0,2,"C2,CA,C7,CQ;S2,S3,S4,SK;C3,C5,SQ,C6;C4,C8,HK,CJ;D3,D4,DJ,D2;D5,D6,DK,D8;S6,S7,S5,H6;D7,D10,HQ,D9;S8,SA,S9,H5;H7,H9,H2,H3;CK,H10,H8,H4;C10,HJ,SJ,DA;C9,HA,S10,DQ"
1571996535,2,7,2,"CA,C6,C2,CK;S6,S2,S7,S4;S8,S3,SJ,S5;C10,SQ,C5,C3;CJ,SK,C8,C4;D4,D3,D8,D2;SA,HQ,C9,C7;HA,HJ,CQ,HK;DK,D6,D10,D5;S9,H10,H9,S10;H8,D7,DQ,DJ;H6,D9,DA,H5;H2,H7,H4,H3"
1571996535,2,1,2,"CQ,CK,CJ,C2;S2,S7,S8,S3;C5,C4,C3,CA;S4,SQ,H9,S5;D8,D4,D2,D6;S10,SK,H7,S6;HA,D5,D3,D9;HK,SA,D7,DK;HQ,H5,D10,DA;HJ,H3,H4,S9;H10,C10,DQ,SJ;H6,C9,DJ,H2;C6,C7,C8,H8"
1571996535,2,0,2,"CQ,C9,C2,CA;S4,S6,S2,S5;S9,S8,S3,S7;SJ,SA,S10,SK;C3,C6,C4,C5;C10,C8,CK,C7;D5,D8,D2,D6;D7,DQ,D3,DJ;D10,DK,D4,HA;H6,H2,H5,H4;DA,HK,D9,H8;SQ,H10,HJ,H7;HQ,H3,H9,CJ"
1571996535,2,9,2,"C2,CK,CQ,CA;S2,S3,S5,S10;HJ,C4,C3,C7;H6,C6,C5,C8;H4,SQ,C9,C10;D3,D6,D4,D2;D9,DA,D7,D5;S4,SJ,HA,SA;DJ,SK,DQ,D8;S9,HK,DK,D10;S8,H10,CJ,H9;S7,H3,H5,H2;S6,H8,HQ,H7"
1571996535,2,3,2,"CK,C2,CJ,C3;S2,S4,S6,S5;S3,HJ,S8,S9;D3,D7,D5,D2;C5,C6,C4,SA;H10,C8,C7,HA;H8,C10,C9,HQ;H2,CQ,SQ,H9;D8,D10,SK,D4;DJ,CA,HK,DA;D9,H4,H3,DK;SJ,H5,H6,DQ;S7,H7,S10,D6"
1571996535,2,12,2,"CJ,C8,C2,CQ;S3,S2,S4,S8;SQ,C3,C4,C5;D8,D2,SK,D4;D9,D3,HA,DK;S10,S5,S7,SA;HJ,H10,C7,C6;H5,S6,S9,HQ;H4,DA,SJ,H8;H3,DJ,CK,C9;H2,D7,CA,C10;DQ,D6,H9,H6;D10,D5,HK,H7"
1571996535,2,2,2,"CK,C2,CJ,CA;S2,SJ,S4,S3;C7,C3,C5,C4;CQ,C10,SQ,C6;D2,DA,D4,D3;D5,D7,DJ,HQ;D6,D8,DK,HJ;SA,SK,S6,S5;D9,D10,H7,C9;H4,H3,H2,C8;DQ,HK,H6,S9;H9,H8,H5,S8;HA,H10,S10,S7"
1571996535,2,1,2,"C5,CK,CQ,C2;S4,S3,S2,SJ;C3,C7,C6,C4;S7,S6,S5,SQ;HJ,C8,CJ,C9;D4,D2,D9,D6;D5,D3,D10,DA;H10,C10,SA,CA;D7,SK,H9,DQ;D8,HK,H6,DK;H3,H2,H4,H7;DJ,H8,H5,HQ;S9,S10,S8,HA"
1571996535,2,1,2,"CK,C10,C2,C7;S2,S4,HA,S3;S5,S6,HK,S9;DQ,D5,D2,D3;S8,S7,H8,SK;D6,D10,D4,D9;C3,C4,C6,HQ;CJ,C5,C8,H10;S10,SQ,D8,H9;H7,DK,D7,DJ;SJ,SA,CA,H6;H3,H5,CQ,H2;H4,HJ,C9,DA"
1571996535,2,19,2,"C9,C2,CA,C10;S3,S8,S9,S2;C8,CQ,C4,C3;S5,SJ,SQ,S4;SK,SA,C7,C5;HQ,HA,CJ,C6;H8,HK,CK,H9;D9,D5,D3,D2;DK,D7,D4,D10;S6,H10,HJ,S7;H3,H4,DA,H2;H7,D8,D6,H6;S10,DJ,DQ,H5"
1571996535,2,15,2,"CA,CK,C2,CQ;S2,S5,S4,S3;S6,S10,SQ,S7;D6,D2,D3,D5;D8,DA,D4,D7;SA,D9,HK,D10;C4,C5,C3,C7;SK,C6,C9,C10;HA,H7,HQ,DJ;H8,H2,HJ,DQ;H6,CJ,H10,DK;S9,C8,H4,H3;S8,SJ,H5,H9"
1571996535,2,2,2,"CA,CQ,C2,CJ;S3,S5,S4,S2;S9,S6,S7,S10;C4,C5,C3,C6;CK,C9,C8,C7;D2,D5,D9,D7;SQ,S8,SJ,SA;D3,DK,DA,D8;HJ,SK,C10,HA;DQ,H2,H3,H5;D4,HK,HQ,D10;DJ,H4,H6,H9;D6,H7,H8,H10"
1571996535,2,13,2,"CA,CK,C8,C2;S2,S3,S5,S4;D3,D6,D5,D2;S10,S8,SQ,S6;D9,DJ,D8,D4;SA,DK,D10,D7;H6,DA,SK,DQ;SJ,S9,HA,S7;C5,C3,HK,C4;C6,CJ,HJ,C7;CQ,H8,H3,H2;C10,H10,H5,H4;C9,HQ,H7,H9"
1571996535,2,0,2,"C2,CQ,C8,CA;S5,S2,S3,S6;S9,HA,S4,S8;C6,C3,C5,C4;CK,C7,SQ,C9;D2,D5,DQ,D3;D10,D7,DA,D4;SK,HJ,S7,H8;DJ,D8,H9,D6;SA,H10,S10,H7;H3,H4,H2,DK;HK,CJ,H6,C10;HQ,H5,SJ,D9"
1571996535,2,1,2,"CQ,C2,CJ,CA;S10,S2,S5,S7;SJ,S3,S6,HK;C7,C4,C3,C8;C10,C5,SQ,CK;D2,D10,D9,D5;D3,DK,DQ,D6;SA,S4,SK,HJ;D4,H4,DA,D8;H6,C9,H2,H3;D7,C6,HA,DJ;H7,S9,H5,H8;HQ,S8,H10,H9"
1571996535,2,0,2,"C2,CA,C9,CK;S2,S3,S7,S4;S5,S9,S8,S6;C6,C5,HK,C3;D6,D4,D2,D5;D8,D10,D3,DK;SA,C10,H9,C4;D9,DJ,D7,H10;HJ,SK,S10,H7;H6,SQ,SJ,CQ;H2,H5,H4,CJ;H3,HQ,H8,C8;DQ,HA,DA,C7"
1571996535,2,3,2,"CQ,CK,C2,CA;S6,S4,S2,S3;CJ,C6,C3,C4;D3,D2,D6,D9;HA,S10,S5,S7;HJ,C8,C5,HK;H7,C9,C7,H10;H5,C10,SQ,H8;D5,D4,SA,D10;DQ,D7,SK,DJ;DK,D8,HQ,H4;H2,H6,H9,SJ;H3,DA,S8,S9"
1571996535,2,14,2,"C2,CK,CA,C7;S5,S2,S3,S6;S7,S4,S8,S9;SJ,HA,SQ,S10;C6,C3,C4,HK;C9,C5,SA,H10;D2,DQ,D5,D4;D3,D9,D7,D8;HQ,C8,SK,H8;HJ,C10,H9,H7;DJ,CJ,H4,H5;D10,CQ,H2,H3;D6,H6,DK,DA"
1571996535,2,19,2,"CJ,CA,CK,C2;C7,C3,C4,C8;S2,HJ,S4,S3;S9,H8,S6,S5;C9,C5,C10,SQ;D7,D4,D5,D2;D10,D6,HK,D3;DK,D9,H10,D8;SK,H7,S7,S8;H3,DA,H2,H5;HA,DQ,SJ,S10;HQ,C6,CQ,SA;H4,DJ,H9,H6"
1571996535,2,13,2,"C2,CA,CK,CJ;S2,S4,S8,S3;S5,S7,S10,S9;C6,C3,C4,C5;S6,SQ,SA,SJ;DJ,D6,D2,D3;C7,SK,H7,C8;HJ,D7,D4,D9;H9,DK,D5,D10;H5,H2,H3,H8;CQ,HK,D8,DA;C10,H4,H6,H10;C9,HQ,DQ,HA"
1571996535,2,2,2,"C2,CK,CJ,CQ;S5,S3,SJ,S2;CA,C4,C3,C5;S6,S4,H10,S8;HK,S7,H9,S9;HQ,C8,C6,C9;D5,SA,D3,D2;D6,H8,D4,SQ;D8,H7,D7,SK;D9,H4,DJ,HA;H6,C10,C7,HJ;DA,S10,DK,H5;D10,H2,DQ,H3"
1571996535,2,8,2,"CK,C2,CA,CQ;S2,S3,S4,S5;S6,S9,S10,S7;HK,SQ,SJ,S8;HQ,C5,C3,C4;H10,CJ,C6,C7;D4,D2,DQ,D8;D5,D3,D9,DK;H9,SK,HJ,SA;H8,HA,C9,C8;D7,D6,D10,H5;H6,H7,C10,H3;DA,DJ,H4,H2"
1571996535,2,0,2,"CQ,C9,CA,C2;S2,S3,S7,S5;SQ,S4,S10,HQ;C10,C3,C6,C5;CJ,C4,C7,C8;D2,D8,D3,D4;D9,D5,DK,D6;SK,S6,SJ,HJ;D10,D7,SA,DJ;DA,H9,HA,DQ;H3,H8,H7,H2;H6,S8,HK,H4;H5,S9,H10,CK"
1571996535,2,4,2,"CK,CA,C10,C2;S5,S6,S2,S4;HA,S8,S3,S9;H10,SJ,S7,S10;C9,C3,C4,C5;CJ,C7,SA,C6;D7,D3,D2,D5;DQ,D4,D6,D8;DK,D9,D10,SQ;DA,DJ,SK,HK;H2,HJ,H3,H4;H9,CQ,HQ,C8;H7,H6,H8,H5"
1571996535,2,19,2,"CA,C8,C2,CK;S6,S10,S2,S3;CQ,C5,C9,C3;S7,SK,S4,S5;SQ,C7,C10,C4;SA,HA,CJ,C6;D3,D2,D10,D4;D6,D5,DQ,D8;D9,D7,DA,DJ;S8,HK,S9,HQ;H4,H6,H3,H2;H9,DK,HJ,H10;SJ,H7,H8,H5"
1571996535,2,1,2,"CA,C2,CK,CJ;S5,S6,S2,SJ;C6,C5,HK,C3;S7,S9,S3,SA;C7,C9,HQ,C4;D2,D4,DA,D3;S8,SK,S4,HJ;SQ,H2,H4,H7;C10,HA,H8,C8;CQ,H9,DK,H10;D6,H6,D8,D5;D7,H5,D10,DJ;D9,H3,S10,DQ"
1571996535,2,2,2,"CK,C2,C9,C10;S5,HA,S3,S2;D2,D3,D6,D9;SQ,HK,S6,S4;D4,D8,DJ,H9;D5,DQ,DA,H7;SK,HJ,S8,S7;D7,DK,SA,H6;HQ,C8,C4,C3;H10,CJ,C5,C6;H5,CQ,H8,C7;H3,CA,H2,SJ;D10,H4,S10,S9"
1571996535,2,0,2,"CJ,C2,CQ,C10;S2,S4,S3,S6;S8,S5,SA,S9;C4,CK,C3,C6;S10,S7,HK,SK;C5,CA,C7,C8;D2,D3,D4,D9;H8,SQ,HQ,C9;D6,D5,D10,DJ;D7,DA,H10,DQ;DK,H5,H3,H2;D8,H7,H4,H6;SJ,HA,H9,HJ"
1571996535,2,0,2,"CA,CK,C2,CQ;S10,S2,S4,S6;SJ,S3,S5,SQ;D6,DQ,D3,D2;DJ,DK,D4,D5;SK,S8,S7,SA;C7,C4,HA,C3;DA,H8,D7,H10;C9,C6,H5,C5;H7,H3,H4,H2;HJ,C10,D10,H6;HQ,C8,D9,H9;HK,S9,D8,CJ"
1571996535,2,1,2,"CQ,C9,CA,C2;S8,S2,S3,S7;SJ,S6,S4,S10;C4,C3,C5,C8;C7,C6,C10,CK;D2,D3,D9,D5;HA,S9,S5,SQ;D7,D4,D10,D8;HQ,D6,DQ,DJ;H2,H7,H3,HJ;H5,DA,HK,DK;H4,SK,H8,SA;CJ,H10,H6,H9"
1571996535,2,13,2,"C2,CQ,CK,CA;S2,S3,SJ,S5;C5,C3,C4,CJ;S4,S8,SQ,S6;DK,D7,D3,D2;DA,D9,D5,D4;S7,S10,HK,S9;C6,C10,HQ,C8;HJ,H2,H7,H4;SK,H10,DQ,H9;SA,H6,DJ,H8;C7,H5,D8,C9;HA,H3,D6,D10"
1571996535,2,1,2,"CQ,CA,C2,CK;S2,S3,S10,S5;S6,S4,SJ,S9;C8,C6,C10,C3;D6,D9,D2,D4;S7,S8,SK,H8;D8,HA,D3,DA;SQ,C7,HK,C4;SA,C9,H10,C5;HJ,H2,H6,H4;D10,HQ,D5,H7;DQ,H9,D7,H5;DK,H3,DJ,CJ"
1571996535,2,0,2,"C7,CK,CA,C2;C4,C6,C3,CQ;S2,S4,H9,S3;S6,S7,H8,S5;SQ,SJ,D8,S8;D5,DQ,D2,D10;H10,SA,D7,S9;H7,C9,C5,C10;H2,HK,D6,S10;DA,HQ,D4,SK;DK,H4,D3,H3;DJ,H5,CJ,HJ;D9,H6,C8,HA"
1571996535,2,1,2,"CA,C2,CJ,C9;S4,S2,S3,S5;H9,S7,SK,S6;C6,C7,C3,C5;H2,S8,HK,S9;DA,SJ,H10,S10;CK,C10,C4,C8;D3,DQ,D2,SQ;DK,CQ,H3,SA;D10,H5,DJ,H4;D9,H6,D8,HJ;D6,H7,D7,HQ;D5,H8,D4,HA"
1571996535,2,19,2,"CK,C2,CQ,CJ;S4,S3,S7,S2;SK,S5,SJ,S6;D2,D8,D3,D7;HQ,S8,SQ,S10;D4,HJ,DJ,DK;H5,S9,HK,SA;H4,C5,C4,C3;DQ,C8,C9,C6;D5,H10,DA,HA;D10,H3,H6,H2;D9,CA,H7,H9;D6,C10,H8,C7"
1571996535,2,0,2,"C9,C2,CK,CQ;S5,S2,S3,S4;S6,S7,S9,SJ;C3,CA,C6,C4;S8,S10,HA,SK;C5,SA,C8,C7;D3,D5,D6,D2;D9,D8,DA,D4;H6,H2,H4,H9;SQ,H3,HQ,C10;HK,DK,HJ,CJ;H8,D10,H10,D7;H7,DQ,H5,DJ"
1571996535,2,22,2,"C10,C5,C2,CA;S5,S6,S4,S2;H10,S7,S9,S3;C4,C3,C6,CQ;H9,SQ,C8,C7;H8,HQ,CJ,C9;H7,HJ,CK,HA;D6,D7,D2,D3;D9,D10,D4,D8;H4,S8,SK,HK;DJ,H5,D5,DA;H3,SJ,SA,H2;DK,S10,DQ,H6"
1571996535,2,26,2,"C3,C9,CA,C2;S3,S5,S2,S8;SK,C5,CK,C4;HK,S6,S4,SQ;D3,D7,D2,D5;HQ,C6,SA,C7;D6,D10,D4,DK;H10,DJ,D8,DA;H9,HA,H2,C8;H8,H7,DQ,C10;H5,H6,D9,CJ;H4,S10,SJ,CQ;H3,S7,S9,HJ"
1571996535,2,4,2,"C9,CK,CA,C2;S3,S2,S9,S6;C6,CQ,C3,C5;S7,S4,SK,HA;HQ,SQ,C4,C7;HJ,DJ,C8,CJ;D5,D2,DQ,D3;D8,D4,DA,DK;S8,S5,SA,HK;H7,D9,C10,H9;H6,D7,H5,H2;D10,D6,H10,H4;SJ,S10,H8,H3"
1571996535,2,22,2,"CA,C2,CK,CJ;S5,S3,S2,S4;S7,S8,S6,HJ;S10,S9,SQ,H7;SK,C6,C5,C3;D2,D3,DA,D4;HA,C8,CQ,C4;D5,D10,D9,D7;HK,SJ,SA,H6;D6,HQ,DJ,DQ;H5,C10,H10,C7;H3,H2,H9,H4;D8,H8,DK,C9"
1571996535,2,1,2,"CA,C2,CQ,CK;S2,H10,S4,S3;S8,H6,S7,S5;S10,H2,S9,S6;SJ,DA,HA,SK;D3,D6,D8,D2;C3,C6,CJ,SA;D9,D7,D10,D4;H9,DQ,H3,H7;C4,C7,HK,H8;C5,C8,HJ,DK;SQ,C9,H5,DJ;HQ,C10,H4,D5"
1571996535,2,8,2,"CK,C2,C10,CJ;S6,S3,S2,S5;S10,S4,S8,S7;CQ,C5,C3,C9;D5,D3,D7,D2;SA,C6,C4,H10;HA,C7,C8,H6;HQ,DJ,D8,D4;H8,CA,SQ,DK;H7,DQ,D10,D6;H5,DA,SK,D9;H2,H4,HJ,SJ;H3,H9,HK,S9"
1571996535,2,3,2,"CK,C9,CQ,C2;S6,S7,S3,S2;D7,D3,D2,D4;C3,SA,C6,C7;SK,HK,S10,S4;C4,HQ,C8,CJ;HA,HJ,SJ,S5;D8,D5,D6,H5;C5,H10,SQ,CA;H4,H9,H8,S8;DA,H7,DQ,S9;DK,H6,DJ,H2;C10,D9,D10,H3"
1571996535,2,0,2,"C2,CQ,C5,CA;S3,S4,S2,S8;C4,C6,HQ,C3;S6,S5,S10,SQ;D2,D4,D3,D6;DQ,D5,D9,D7;S9,S7,SJ,SA;SK,DA,D10,D8;C8,C10,H9,C7;H6,H2,H4,HK;C9,H8,H5,CJ;HJ,H7,DK,CK;H10,H3,DJ,HA"
1571996535,2,2,2,"CQ,CA,C2,CJ;S2,S5,S10,S4;C6,C7,C3,C4;S3,S8,HA,S6;D5,D4,DA,D2;C9,SA,C5,C8;S9,H9,HQ,S7;C10,H4,CK,HK;DQ,D6,D7,D3;SK,H3,HJ,SJ;SQ,DK,H5,H7;H8,D10,H2,H6;H10,D8,DJ,D9"
1571996535,2,0,2,"CA,C2,CK,CJ;C6,C4,C5,C3;C9,SQ,C7,C8;C10,H10,SK,HK;CQ,H7,H6,HJ;D4,D2,D6,D5;DQ,D3,D8,D7;DK,DJ,H5,D9;SA,S2,S3,S7;H4,H2,H3,H8;HA,S8,S10,D10;HQ,S6,S9,DA;H9,S4,S5,SJ"
1571996535,2,13,2,"CQ,C2,CA,CJ;S3,S4,S6,S2;C3,SQ,C4,C5;DA,D3,D2,D5;DK,DQ,D4,DJ;S5,S9,SA,S7;C9,SK,CK,C6;HQ,HA,D6,HK;H9,HJ,D7,H7;H8,H10,D8,H2;H6,H5,D9,C8;C10,H4,D10,C7;S8,S10,H3,SJ"
1571996535,2,25,2,"C2,C7,CA,CK;S6,S5,S4,S2;S9,HK,S7,S3;C3,C4,C9,C8;HA,H6,S10,S8;HQ,C5,CJ,C10;D4,D2,D3,DA;HJ,H5,SQ,SJ;D7,D5,D6,SA;DJ,D8,D9,SK;DQ,D10,DK,H9;H3,H4,H7,H2;H8,C6,H10,CQ"
1571996535,2,17,2,"C9,CQ,C2,C10;S5,S3,S7,S2;S6,HQ,SJ,S4;C4,C3,C7,C5;HK,C6,CK,C8;HJ,CJ,CA,SQ;D2,D3,DQ,D8;S9,H10,SK,S8;H5,H4,H2,SA;D5,D4,HA,D10;D7,D6,H7,DJ;D9,DA,H6,DK;H9,H8,H3,S10"
1571996535,2,6,2,"CA,CK,C2,C9;C5,CQ,C4,C3;SQ,S4,S2,S3;C7,C8,C6,SA;C10,CJ,HK,HQ;D4,D5,D2,D6;DK,D7,D3,DJ;DQ,D8,D9,HJ;SK,S5,S6,S7;H3,H4,H7,H2;HA,D10,DA,H10;H9,S10,S8,S9;H5,H8,SJ,H6"
1571996535,2,2,2,"CA,C2,C10,C8;S3,S7,S2,S4;S5,S10,S8,SQ;C5,C4,C3,C6;D2,D7,D3,D5;D4,DK,SA,D6;CJ,C7,HJ,SK;D9,HK,H8,D8;DA,HQ,H7,D10;S6,H10,S9,HA;H2,CK,H3,H4;H9,CQ,H6,DJ;SJ,C9,H5,DQ"
