1571995996,3,25,3,"C2,C4,CA,CQ;S2,S3,S4,S5;S9,S6,S7,S8;S10,SQ,SJ,SK;D2,D6,D4,D3;DJ,D8,D7,D5;C3,HK,C5,C8;HA,H9,H8,SA;C9,H6,C6,C10;CK,H3,C7,CJ;H4,H2,DQ,H7;H5,DA,D10,HJ;H10,DK,D9,HQ"
1571995996,3,4,3,"CJ,C4,CK,C2;S2,S3,S5,S6;S7,S4,S10,S8;C9,C3,C5,C7;S9,SJ,SA,SQ;HJ,HA,C6,C8;H10,HK,C10,CA;DK,D2,D3,D5;D7,D4,D10,D6;H8,HQ,CQ,SK;D9,D8,DQ,H9;DJ,H6,DA,H7;H5,H4,H3,H2"
1571995996,3,14,3,"CK,C2,C9,CJ;S7,S5,S3,S2;S10,SJ,S4,S8;C4,C3,C7,C6;HK,SQ,S6,SA;DA,D5,D4,D2;C5,C8,SK,HQ;D6,DJ,D9,D3;D8,DQ,HA,D7;C10,CQ,H8,HJ;H7,CA,H5,H9;H6,H3,H4,H2;DK,H10,S9,D10"
1571995996,3,0,3,"CK,CJ,C2,CQ;S3,S2,S5,S4;S10,S6,S7,S9;C3,C4,C5,C7;HQ,SQ,S8,SJ;HJ,C6,C10,C8;H10,C9,CA,SA;D4,D5,D2,D3;D9,D6,D7,DA;H6,HA,H3,H2;DK,D8,DJ,HK;H8,DQ,H5,H4;H9,D10,SK,H7"
1571995996,3,6,3,"C6,CQ,C2,CK;S6,S3,S10,S2;C3,C5,C4,CJ;S7,S5,SK,S4;HK,C7,CA,C8;D7,D6,D2,DJ;S8,S9,HA,SJ;HQ,SA,H9,C9;H5,HJ,H7,C10;H3,H10,H4,H2;D10,D8,D3,SQ;DQ,D9,D4,H8;DK,DA,D5,H6"
1571995996,3,2,3,"C10,CJ,C2,CA;S9,S3,S2,S4;C5,HJ,C4,C3;C6,H9,C9,C7;SQ,S6,S10,S5;C8,H8,CQ,CK;D3,D9,D2,D5;D4,D10,D6,D7;DQ,DA,D8,DJ;HQ,S7,SK,SA;H10,H6,H4,H2;DK,SJ,HA,H5;H7,S8,HK,H3"
1571995996,3,7,3,"CJ,C2,CK,CA;S5,S3,S4,S2;C7,C3,C5,C8;HA,S10,S6,S8;C9,C4,SQ,H6;C10,C6,HK,H3;D2,SA,D3,D5;D4,SK,D6,D7;D8,H10,D9,DJ;DQ,H9,D10,DK;HQ,H5,S7,S9;HJ,H4,H8,SJ;H7,CQ,DA,H2"
1571995996,3,3,3,"C5,CA,C2,CJ;S2,S3,S8,S6;C3,C6,C4,C8;S5,S4,SK,S10;SQ,HK,C9,C7;HQ,HJ,C10,HA;H8,H10,CQ,H9;H4,H6,CK,H7;D2,D3,D4,DK;D7,D5,D6,D9;H3,D10,D8,DQ;SJ,DJ,SA,H2;S7,S9,DA,H5"
1571995996,3,22,3,"CA,C10,C2,C6;S3,S9,S2,S8;C4,C9,C8,C3;D2,D5,D4,D3;SA,D8,D7,D6;HQ,DJ,HK,D9;H10,DQ,HJ,D10;CK,H3,H2,H4;CQ,HA,SJ,DK;CJ,H8,S7,DA;C7,H5,S6,H9;S10,H7,S4,SQ;C5,H6,S5,SK"
1571995996,3,4,3,"C2,CQ,C10,CA;S5,S2,S3,S7;C4,C6,C7,C3;SJ,S4,S8,SK;C5,H10,HQ,CJ;C8,H7,HJ,CK;D5,D3,D2,D8;D10,D6,D4,DJ;DA,D7,D9,DK;C9,H2,H9,HA;H8,DQ,H3,H4;SQ,S6,S10,HK;SA,S9,H6,H5"
1571995996,3,0,3,"CJ,C2,CQ,CA;S3,S2,S4,S6;C4,C3,C10,C8;S9,S5,S7,HA;S10,S8,SJ,HQ;DQ,D5,D6,D2;C5,C6,SA,C9;DA,HK,D8,D3;H4,H8,H3,H2;SQ,C7,DK,H10;SK,CK,DJ,H6;H9,H5,D10,D7;HJ,H7,D9,D4"
1571995996,3,0,3,"CA,C10,C2,CQ;S2,S3,SQ,S4;CK,C5,C7,C3;D5,DA,D2,D4;D6,D8,D3,SK;D7,D9,DQ,H3;DJ,D10,DK,CJ;S10,S5,SA,S8;H5,H4,H2,C9;SJ,S6,HJ,S9;H6,HQ,H8,C8;HK,S7,H10,C6;H7,HA,H9,C4"
1571995996,3,12,3,"CK,C10,C8,C2;S8,S3,S2,S5;C4,C9,C6,C3;SQ,S4,SK,S10;D3,D2,D5,D4;D7,D6,DJ,D10;D9,D8,DA,DQ;H8,S6,SA,SJ;H4,H7,H2,HA;H6,H10,HQ,DK;C5,H9,HJ,C7;CJ,S9,H5,CA;CQ,S7,H3,HK"
1571995996,3,4,3,"CK,CA,C2,C9;SJ,S2,S6,S3;C3,C6,C7,C4;SQ,S4,S9,S5;D5,D2,D4,D8;DA,D3,D6,DJ;SK,S8,HQ,S7;C5,C10,C8,SA;HA,D7,D9,DQ;HJ,H10,H4,S10;H6,H7,H2,H3;H9,D10,DK,HK;CQ,H8,CJ,H5"
1571995996,3,2,3,"CK,SK,CA,C2;SJ,S2,S6,S3;C5,HA,C4,C3;C6,HJ,C9,CJ;H10,S5,S8,S4;H7,S7,S9,HK;H3,H8,S10,H9;C7,H5,C10,CQ;D2,D3,D4,D5;D6,D10,SQ,D7;DJ,DQ,SA,D8;DA,H2,H6,DK;C8,H4,HQ,D9"
1571995996,3,20,3,"C10,C2,C9,CA;S5,S2,S7,S3;S6,S4,S8,S9;C4,C7,C3,C6;D7,D2,D4,SA;SJ,HA,S10,SK;C5,HK,C8,CJ;SQ,H10,H6,CQ;H8,H9,H5,CK;H4,H2,DA,H3;D9,D3,D5,HQ;DQ,D6,D8,HJ;DK,DJ,D10,H7"
1571995996,3,5,3,"CK,C6,C2,CQ;S2,S5,SJ,S6;C5,C3,C8,C4;C7,SQ,C10,H9;C9,HK,CJ,H4;SA,HQ,CA,H2;D4,D3,D2,DA;D5,D10,D6,D8;D7,DK,DQ,D9;S3,S7,SK,S8;H6,H3,H5,DJ;S4,H10,HJ,S9;HA,H8,H7,S10"
1571995996,3,17,3,"CK,CA,C2,C9;S2,S3,S4,S9;C5,C10,C4,C3;S7,S6,S5,SQ;C8,CJ,SK,C6;H8,CQ,HK,C7;D7,D2,D4,D3;D8,DA,D5,D10;S10,S8,H6,HA;D9,SA,D6,DK;H2,H3,H4,H7;DQ,H10,H5,H9;SJ,HQ,DJ,HJ"
1571995996,3,7,3,"C2,CA,CJ,CQ;HQ,S4,S3,S2;HJ,S6,S5,S8;H10,S7,S10,SJ;C5,C4,C3,C7;CK,C6,SQ,C8;D4,D3,D6,D2;D5,D8,D7,DA;H6,S9,HK,SA;H2,SK,H3,H4;H5,D9,H9,H7;D10,C10,DQ,HA;DJ,C9,DK,H8"
1571995996,3,0,3,"CK,CA,CQ,C2;S5,S2,S9,S4;C3,C9,C7,C4;S7,S3,SK,SJ;C6,CJ,C8,C5;S8,S6,SA,H10;D3,D2,D4,DK;D6,D5,D8,D9;D7,DJ,HK,D10;HQ,S10,HJ,H9;DA,H6,H3,H2;DQ,HA,H4,H5;C10,SQ,H8,H7"
1571995996,3,20,3,"CQ,CA,CK,C2;S2,S4,S5,S3;S8,SJ,S6,SQ;CJ,C3,C4,C6;C7,C5,C10,SA;D2,D4,D5,D3;D6,DQ,D8,D7;C9,C8,SK,HA;D9,HK,H10,D10;DJ,H7,H8,DK;HQ,H6,H3,DA;HJ,H2,S9,H4;S10,H5,S7,H9"
1571995996,3,21,3,"CQ,C2,C6,CK;SJ,S5,S3,S2;C3,C4,SQ,C8;C5,CJ,HK,C9;C7,CA,HJ,HA;DJ,D3,D6,D2;DA,D5,D8,D4;SA,S8,S4,S6;C10,SK,H6,H9;H2,H3,DQ,H4;HQ,D7,S10,D9;H8,H10,S9,D10;H7,H5,S7,DK"
1571995996,3,0,3,"C2,CA,CQ,C5;S7,S2,S5,S4;C3,C6,C8,SQ;C4,CK,C9,HA;D4,D3,DK,D2;C7,SA,C10,HK;SK,HJ,CJ,HQ;D5,DQ,D8,DA;H10,S3,SJ,S6;D6,H8,D9,H9;D7,H5,DJ,H6;H3,H4,H2,S10;D10,S9,H7,S8"
1571995996,3,5,3,"CJ,C2,CK,CQ;S4,HA,S3,S2;S7,HJ,S5,S9;S8,H10,S6,SJ;C4,C3,SA,C7;C6,C5,SK,C10;D3,D5,D2,D4;C8,CA,HK,SQ;D7,D9,D6,D10;H5,DQ,D8,DJ;H4,DA,H9,DK;C9,H2,H7,H3;S10,H6,H8,HQ"
1571995996,3,10,3,"CQ,CK,SK,C2;S4,S2,S3,S8;S9,S5,S6,S10;SA,HK,S7,SJ;C5,C3,SQ,C4;C6,C9,HA,C7;D4,DJ,D2,D5;D9,DQ,D3,D7;D10,DK,D6,H10;H4,H2,H3,H8;C8,HQ,H5,C10;HJ,H9,DA,CJ;H6,H7,D8,CA"
1571995996,3,1,3,"CQ,C2,CK,CJ;S5,S4,S3,S2;S8,SQ,S7,S6;C3,C9,C4,C7;C5,C10,SA,C8;C6,CA,H10,HA;D3,D2,D6,D8;D7,D4,D10,DJ;SK,D5,H9,DK;S10,HQ,SJ,S9;H2,DA,H4,H3;HJ,DQ,H5,H6;HK,D9,H8,H7"
1571995996,3,9,3,"C2,C8,C6,CA;SJ,S7,S2,S3;C7,C4,HQ,C3;CK,C5,H9,C9;D2,D8,D3,SQ;D4,DK,D6,SK;HA,S9,S4,S5;H8,SA,S6,S10;DA,H3,H2,H10;DJ,HJ,H6,C10;D10,H7,DQ,CJ;D9,H5,D7,CQ;D5,H4,S8,HK"
1571995996,3,21,3,"CK,CA,C2,CQ;S5,S4,S2,S7;C8,C5,C6,C3;S8,S6,S3,H10;C7,SK,SA,C4;D2,D3,D4,D7;SQ,HK,HA,C9;D8,D5,D6,D10;D9,HQ,DJ,DK;H9,HJ,H8,C10;H6,H7,DQ,CJ;H3,H5,SJ,H2;DA,S10,S9,H4"
1571995996,3,3,3,"C2,CA,C10,CQ;S2,S3,S6,S4;S7,S8,S9,S5;SQ,SJ,S10,HQ;C5,C4,C3,HJ;CK,C6,C7,H10;D6,D4,D7,D2;SK,H5,SA,H9;H4,DK,H2,H8;D9,DQ,HA,D3;HK,C8,H7,D10;DA,C9,H6,D8;DJ,CJ,H3,D5"
1571995996,3,2,3,"C2,C9,CQ,CA;S2,S10,S3,S4;C3,C6,C4,C5;C10,C7,C8,CK;S7,HA,S8,S5;D4,D3,D8,D2;D6,D9,DJ,D5;H6,H4,H2,H5;SJ,HK,SA,S6;H10,H7,H3,SQ;CJ,HJ,HQ,SK;D7,D10,H9,DK;DQ,DA,H8,S9"
1571995996,3,0,3,"CK,C2,CA,C8;S4,SK,S10,S2;C4,C3,C6,HA;S8,H10,SJ,S3;CJ,C5,C7,HK;S9,H9,SQ,S5;SA,CQ,C9,HQ;D3,D10,D2,D9;D6,DJ,D4,H7;D8,DQ,D5,H6;HJ,H3,H2,H4;DK,H8,D7,S7;DA,H5,C10,S6"
1571995996,3,0,3,"CA,C2,CK,C5;C4,CQ,C6,C3;SK,S7,S2,S4;C9,C7,C8,SA;C10,SQ,HA,HQ;CJ,H10,HK,HJ;D4,D3,D2,D5;D6,DA,D7,DQ;H5,SJ,S3,S5;H3,H4,H8,H2;D8,H9,D9,S9;D10,H7,DJ,S8;DK,H6,S10,S6"
1571995996,3,8,3,"CQ,C2,CA,CJ;S2,SQ,S9,S4;SK,C5,C3,C4;HQ,C8,C6,C9;D4,D2,D8,D9;D5,D3,DQ,DA;S3,HA,SA,S7;H10,CK,C7,HJ;D7,D6,HK,H8;S5,H5,H9,S8;S6,DK,H4,S10;H2,DJ,H3,H6;SJ,D10,C10,H7"
1571995996,3,12,3,"CQ,CJ,C8,C2;S2,S3,S7,S8;S4,S5,S9,S10;HQ,S6,SA,SJ;C3,C9,C4,CA;C5,C10,C6,CK;D2,D3,D4,D8;D6,D5,DQ,D9;D7,D10,DA,SQ;H5,H2,H3,HA;H8,H6,HJ,SK;DJ,H4,H7,H9;C7,DK,H10,HK"
1571995996,3,1,3,"C2,C7,CK,CA;S6,S10,S4,S2;C5,C3,H8,C4;C8,C6,H7,CQ;HA,SQ,S5,S3;D3,D2,D6,D8;D4,D5,D7,D10;DK,DJ,D9,DQ;C9,SA,H6,H9;C10,SK,H5,H3;CJ,HQ,H2,SJ;H10,H4,DA,S9;HK,HJ,S7,S8"
1571995996,3,22,3,"C2,CK,C7,CA;S7,S9,S5,S2;SA,S10,S8,S3;C4,CQ,C3,C5;C8,C6,SQ,CJ;D4,D2,D10,D3;D7,D6,DQ,D5;H10,HA,SJ,S4;H9,HQ,SK,S6;H4,DK,H2,H8;H7,D8,HJ,DJ;H6,D9,H5,DA;C9,C10,H3,HK"
1571995996,3,12,3,"C2,C10,D10,CA;S2,S3,S5,S4;S6,S10,S8,S7;C3,C4,HK,C5;HA,SQ,SJ,S9;DK,D9,D2,D7;DA,DQ,D3,DJ;C7,C6,H9,CQ;H10,H8,H2,SK;H6,H7,D8,SA;C8,C9,D6,CK;H5,H3,D5,HJ;CJ,H4,D4,HQ"
1571995996,3,12,3,"C2,CQ,CJ,CA;S2,S4,S10,S6;S3,S5,SJ,S7;C9,SQ,C3,C5;C10,SK,C4,C6;D6,D3,D10,D2;SA,H10,C7,C8;HA,H8,HK,CK;D8,D7,DQ,D4;HQ,D9,DA,D5;H2,DK,H4,H6;H9,S9,HJ,DJ;H3,S8,H5,H7"
1571995996,3,3,3,"C10,C2,C3,CA;S4,S6,S2,S5;C8,C5,HJ,C4;S8,SQ,S3,S10;C9,C6,H9,C7;D2,D4,D3,D7;SK,HQ,S7,SA;HA,CJ,H4,CQ;H3,H7,D8,H2;H10,CK,D6,HK;DJ,D9,D5,H8;DQ,D10,SJ,H6;DA,DK,S9,H5"
1571995996,3,13,3,"C2,CA,C8,C10;S8,S2,S4,SQ;C3,C7,C6,C4;C9,CK,SA,C5;D2,D3,D4,D9;D6,D5,D7,D10;DA,D8,DJ,DQ;S9,S3,S7,SK;H5,H6,H3,H2;S10,S5,SJ,HK;HJ,HQ,DK,H8;CQ,H9,H10,H4;CJ,S6,HA,H7"
1571995996,3,2,3,"C2,CA,CK,CJ;S3,S8,S2,S4;S6,S9,S7,S5;SA,S10,SJ,SK;C4,C10,C3,HA;D8,D3,D2,D4;C5,SQ,C7,H7;C6,HK,C9,H6;C8,HQ,CQ,H4;H10,D7,D6,D5;H9,DJ,D9,DK;H5,DQ,D10,DA;H2,H8,HJ,H3"
1571995996,3,13,3,"C2,CK,C7,CJ;S2,S3,S6,SQ;C8,C10,C4,C3;D7,D5,D4,D2;DJ,D6,DK,D3;DQ,SA,DA,D8;S5,S4,SJ,HA;S7,S8,SK,H3;H2,H4,H7,D10;H5,H10,H8,D9;H6,S9,HK,C9;CA,S10,HJ,C6;CQ,HQ,H9,C5"
1571995996,3,2,3,"CA,CQ,C10,C2;S2,S3,S9,S7;S5,S4,SJ,SA;CJ,C3,C4,C5;S10,S6,SK,HA;SQ,C8,C6,C7;D7,D5,D2,D3;DQ,D8,D4,D6;H4,H3,HJ,H2;HK,HQ,C9,CK;H7,D10,DJ,D9;H6,H9,DK,H10;H5,S8,DA,H8"
1571995996,3,5,3,"CK,C2,CQ,C10;C5,CJ,C3,HK;SQ,S2,SJ,S3;D7,D2,D3,D5;D9,D8,D4,D10;DK,HA,D6,DJ;DA,H10,DQ,H8;SA,S4,SK,S6;C6,CA,C4,H7;HJ,S5,HQ,S8;C9,S7,H9,S9;C8,H3,H6,S10;C7,H2,H5,H4"
1571995996,3,3,3,"CA,C2,CK,CJ;S2,S3,S8,S7;S4,S5,SJ,S9;C6,C4,C3,C5;S6,HK,SQ,S10;C7,C9,C10,HJ;D2,D8,D3,D4;D5,DA,DJ,D6;C8,CQ,SK,H10;H5,H3,HA,H2;D9,HQ,DK,D7;SA,H4,H6,H7;DQ,H8,H9,D10"
1571995996,3,17,3,"C2,C8,CK,CA;S2,S3,S4,S10;S5,S8,S9,SJ;DJ,D3,D6,D2;S6,SK,SQ,SA;D7,D5,DK,D4;D8,HK,DA,D9;C7,C3,C6,HA;D10,H8,HQ,DQ;H2,H4,HJ,H3;CQ,C4,C9,H10;S7,H6,CJ,H9;H5,C5,C10,H7"
1571995996,3,24,3,"CQ,C2,C9,CK;S3,S2,S7,S4;C7,CA,C4,C3;S8,SJ,SK,S5;HA,SA,C5,C8;S10,HJ,HQ,S6;D3,D2,D5,D6;HK,H8,H6,S9;H10,DA,C6,C10;H9,DQ,H4,CJ;DJ,D4,D7,DK;H2,D10,H3,H7;H5,D8,D9,SQ"
1571995996,3,17,3,"SA,C2,CA,CQ;S6,S8,S2,S3;SQ,C4,C3,C5;D4,DK,D2,D3;D5,DA,D6,D10;H9,C10,C7,C6;H3,CK,SK,C8;DJ,H4,H2,H6;D9,HA,D7,DQ;S7,HK,HQ,S4;S9,HJ,H7,S5;S10,H10,H5,CJ;SJ,H8,D8,C9"
1571995996,3,12,3,"C9,CA,C2,CK;S2,S5,S4,S3;S8,S6,S10,S7;S9,HJ,SJ,SA;C3,C7,CJ,C4;D2,D5,D3,D4;C6,C10,SQ,C5;D6,D9,DK,D7;H5,H3,H2,HK;C8,H10,HA,CQ;D10,DQ,H7,D8;SK,H8,H4,HQ;DJ,H9,H6,DA"
1571995996,3,21,3,"CQ,CK,C10,C2;S4,S6,S3,S2;S10,SJ,S7,S5;C8,C4,C3,C6;D4,DK,D2,D5;SQ,C5,HQ,C7;H10,C9,HJ,CJ;H9,SA,DJ,CA;D6,SK,D3,D10;H8,HA,D7,DQ;H5,HK,D8,DA;H4,H7,S9,S8;H3,H2,D9,H6"
1571995996,3,21,3,"CA,CK,C2,CJ;S5,S3,S2,S6;S7,HK,S4,S10;C3,C4,SQ,C9;HJ,C5,SA,C10;D2,D10,D7,D6;D3,DJ,D8,DK;D4,DQ,D9,DA;SJ,H5,S8,SK;H2,CQ,H4,H3;H9,C8,S9,HA;H7,C7,H6,H10;D5,C6,H8,HQ"
1571995996,3,0,3,"C9,CA,C2,SA;S5,S2,S4,S3;S8,S6,S9,S10;D3,DA,D7,D2;SJ,S7,SK,SQ;C5,C3,C10,HA;D6,HJ,D8,D4;DQ,H5,DJ,D5;C6,C4,H10,HK;C7,C8,H9,H8;HQ,CJ,H4,H6;H7,CQ,H3,D10;H2,CK,DK,D9"
1571995996,3,5,3,"C9,C2,CK,C8;S2,S4,SJ,S3;SA,C4,C3,C5;S7,S6,SQ,S5;H7,CJ,C6,C7;D2,D6,D4,D7;D3,D10,D5,DK;S8,S10,HQ,S9;H3,SK,H10,HA;DQ,CQ,C10,HK;DJ,CA,H6,HJ;D9,H2,H5,H8;D8,H4,DA,H9"
1571995996,3,5,3,"C8,CA,C5,C2;S5,S6,S8,S2;S9,S7,S10,S3;SA,HQ,SJ,S4;C7,C3,SQ,C4;D3,D6,D2,D7;HJ,C6,SK,C9;H10,C10,HA,CJ;H9,CQ,HK,CK;D4,DQ,D9,D8;H3,H2,H4,DA;D5,H7,DK,D10;H6,H5,H8,DJ"
1571995996,3,1,3,"C2,CQ,CK,C7;S3,S2,S9,S6;D2,D9,D3,D6;S5,S4,SA,S10;DK,D10,D4,D8;S8,S7,HK,SJ;C4,C9,H10,C3;C6,C10,H9,C5;HQ,H2,H4,H8;C8,HA,H7,SQ;SK,H6,DJ,HJ;CJ,H5,D7,DA;CA,H3,D5,DQ"
1571995996,3,2,3,"C2,CQ,CA,CJ;H10,S2,S4,S3;H5,S6,S5,S7;H3,S9,SQ,S8;D3,D8,D6,D2;D7,D9,SA,D4;DK,D10,SK,D5;DA,DJ,HA,DQ;C3,HK,C4,C10;CK,H6,H2,H4;C8,S10,H8,HQ;C7,SJ,C9,H9;C6,HJ,C5,H7"
1571995996,3,23,3,"CA,C2,CQ,C9;S7,S2,S4,SQ;C3,C5,C7,C8;D7,D6,D5,D2;S10,S3,S6,SK;HJ,SA,D8,D3;H7,HA,D9,D4;H4,HK,D10,DJ;H3,H6,H10,DQ;CJ,H2,H9,DK;C10,CK,H5,DA;C4,C6,S9,H8;SJ,S5,S8,HQ"
1571995996,3,17,3,"CA,C9,C2,CK;S5,S4,S2,S7;S6,SJ,S3,S8;CQ,C3,C10,C6;S9,SQ,S10,SK;D3,D4,D2,D5;D6,D8,DK,D7;HJ,H3,SA,HA;H5,DA,H2,H4;D9,D10,HK,H6;DJ,DQ,HQ,CJ;H10,C4,H8,C7;H9,C5,H7,C8"
1571995996,3,2,3,"CK,C2,CQ,DJ;S4,S7,S2,S3;SJ,S8,S10,S5;C7,C3,C4,HA;C8,C5,C6,HQ;CJ,C10,C9,H9;D3,DA,D2,D4;SA,CA,SQ,H8;D5,DK,D6,D7;H5,H4,H2,D10;D8,HK,H10,D9;SK,HJ,H7,S6;DQ,H6,H3,S9"
1571995996,3,1,3,"C2,CK,C10,CA;CQ,C6,C4,C3;S8,S3,S2,SA;HA,CJ,C5,C7;H8,S5,S4,HQ;H7,S9,S6,HJ;D2,D5,H5,D3;D4,D7,H4,D8;D6,DJ,C9,D9;H2,H10,C8,H3;H6,HK,SJ,H9;DK,SQ,S7,DA;D10,SK,S10,DQ"
1571995996,3,0,3,"C2,CA,CK,C5;S3,S5,S2,S10;C6,C7,C4,C3;S4,S7,S6,HA;S9,SJ,S8,HK;C9,CQ,C8,H10;D7,D6,D2,D5;C10,SA,SQ,H9;CJ,SK,DA,H8;D9,DK,D3,DQ;H6,H4,DJ,H2;D10,HQ,D4,H5;HJ,H7,D8,H3"
1571995996,3,2,3,"CK,CA,C10,C2;S3,SJ,S4,S2;C3,C5,C9,SQ;D4,D2,D3,D10;SK,HK,S5,S7;D6,D5,D9,SA;DQ,D7,DJ,HA;C4,C7,H8,HQ;H3,D8,DK,H9;CQ,HJ,S6,S8;CJ,H10,S9,S10;C8,H2,H5,H4;C6,DA,H7,H6"
1571995996,3,11,3,"CJ,C2,CK,CA;S4,S3,S2,S9;C5,C4,C7,C3;S5,SA,S6,SQ;HK,C8,HJ,C6;HQ,C9,H5,C10;H9,H8,H3,CQ;DJ,D3,D2,D4;D7,D8,D5,D9;D10,DQ,D6,DK;S8,H7,S7,SK;H4,H2,DA,H10;SJ,H6,S10,HA"
1571995996,3,7,3,"C9,CA,C2,C10;S2,S10,S4,S3;C5,C6,C3,C4;SQ,C8,C7,H6;SA,CJ,CQ,H4;SK,HK,CK,H3;DQ,D2,D9,D4;S5,HQ,S9,S7;HA,D3,D10,D6;H9,D5,DJ,DK;H5,D7,HJ,DA;S6,H8,H10,S8;H2,D8,H7,SJ"
